Price,Title,Location,Tags,Features,URL
"Rs. 15,00,000 Per Aana",Land On Sale at Suntakhan,"suntakhan, Kathmandu","featured, Land, Sale","0 Kitchen, 0 Bedroom, 0 Bathroom",
"Rs. 28,00,000 Per Aana",Plotting land on sale,"Duwakot, Karkhanachok, Bhaktapur , Bhaktapur","featured, Land, Sale","0 Kitchen, 0 Bedroom, 0 Bathroom",
"Rs. 90,00,000 Per Aana",Residential house,"Near Vinayak School, Kathmandu","featured, House, Sale","1 Kitchen, 5+ Bedroom, 4 Bathroom",
"Rs. 5,50,00,000",Fully furnished Balkumari housing on sale,"50 meter from ringroad, Lalitpur","featured, House, Sale","50 meter from ringroad, Lalitpur, 1 Kitchen, 4 Bedroom, 5+ Bathroom",
"Rs. 12,00,000 Per Aana",Land on Sale,"Suntakhan, Gokarna, Kathmandu","featured, Land, Sale","0 Kitchen, 0 Bedroom, 0 Bathroom",
"Rs. 53,00,000 Per Aana",Commercial land,"Kageshwori Manohara Municipality, Kathmandu","featured, Land, Sale","0 Kitchen, 0 Bedroom, 0 Bathroom",
"Rs. 2,99,00,000",Residential house,"Dadagaun, Kathmandu","featured, House, Sale","2 Kitchen, 5+ Bedroom, 4 Bathroom",
"Rs. 7,50,00,000",Residential house,"UN Park, Lalitpur","featured, House, Sale","1 Kitchen, 5+ Bedroom, 4 Bathroom",
"Rs. 50,00,000",Residential land,"Sayepatri tole, Lalitpur","featured, Land, Sale","0 Kitchen, 0 Bedroom, 0 Bathroom",
"Rs. 1,95,00,000",Green Valley Homes,"Lamatar, Lalitpur","featured, House, Sale","1 Kitchen, 3 Bedroom, 2 Bathroom",
